GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
condominio-api,com.condominio.condominio_api.util,ApiResponseUtil,14,12,0,0,7,6,1,1,1,1
condominio-api,com.condominio.condominio_api.controller,TorreController,9,42,0,0,1,7,1,5,1,5
condominio-api,com.condominio.condominio_api.controller,PersonaUnidadController,24,18,0,0,4,3,3,2,3,2
condominio-api,com.condominio.condominio_api.controller,AreaComunController,45,0,0,0,7,0,5,0,5,0
condominio-api,com.condominio.condominio_api.controller,CondominioController,9,42,0,0,1,7,1,5,1,5
condominio-api,com.condominio.condominio_api.controller,RolController,45,7,0,0,8,1,5,1,5,1
condominio-api,com.condominio.condominio_api.controller,UsuarioController,60,0,0,0,11,0,7,0,7,0
condominio-api,com.condominio.condominio_api.controller,TicketController,98,0,0,0,14,0,11,0,11,0
condominio-api,com.condominio.condominio_api.controller,DashboardController,8,0,0,0,1,0,1,0,1,0
condominio-api,com.condominio.condominio_api.controller,AccesoController,46,0,0,0,7,0,5,0,5,0
condominio-api,com.condominio.condominio_api.controller,PagoController,24,18,0,0,4,3,3,2,3,2
condominio-api,com.condominio.condominio_api.controller,ReservaController,64,0,0,0,9,0,7,0,7,0
condominio-api,com.condominio.condominio_api.controller,AuthController,7,20,0,0,2,4,1,2,1,2
condominio-api,com.condominio.condominio_api.controller,PersonaController,0,42,0,0,0,7,0,5,0,5
condominio-api,com.condominio.condominio_api.controller,VisitantePreautorizadoController,45,0,0,0,7,0,5,0,5,0
condominio-api,com.condominio.condominio_api.controller,TicketComentarioController,29,0,0,0,6,0,3,0,3,0
condominio-api,com.condominio.condominio_api.controller,VisitanteController,52,0,0,0,8,0,6,0,6,0
condominio-api,com.condominio.condominio_api.controller,CuotaController,24,18,0,0,4,3,3,2,3,2
condominio-api,com.condominio.condominio_api.controller,ReciboController,56,18,0,0,10,3,5,2,5,2
condominio-api,com.condominio.condominio_api.controller,UnidadController,38,24,2,2,6,6,5,2,3,2
condominio-api,com.condominio.condominio_api.security,JwtAuthenticationEntryPoint,0,34,0,0,0,9,0,2,0,2
condominio-api,com.condominio.condominio_api.security,JwtAccessDeniedHandler,30,4,0,0,8,1,1,1,1,1
condominio-api,com.condominio.condominio_api.security,UserDetailsServiceImpl,13,99,3,3,2,20,3,7,0,7
condominio-api,com.condominio.condominio_api.security,JwtTokenProvider,19,162,3,3,5,39,3,15,0,15
condominio-api,com.condominio.condominio_api.security,CustomUserDetails,0,13,0,0,0,3,0,1,0,1
condominio-api,com.condominio.condominio_api.security,SecurityConfig,0,101,0,0,0,21,0,9,0,9
condominio-api,com.condominio.condominio_api.security,JwtAuthenticationFilter,10,100,5,9,3,26,5,5,0,3
condominio-api,com.condominio.condominio_api.mapper,TicketMapper,14,0,2,0,4,0,3,0,2,0
condominio-api,com.condominio.condominio_api.mapper,PersonaUnidadMapperImpl,224,3,32,0,68,1,26,1,10,1
condominio-api,com.condominio.condominio_api.mapper,CuotaMapperImpl,224,3,32,0,65,1,23,1,7,1
condominio-api,com.condominio.condominio_api.mapper,UsuarioMapper,14,0,2,0,4,0,3,0,2,0
